,Fecha,FP,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,2023-01-01,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-01-01,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2023-01-01,99.0,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
3,2023-01-01,99.0,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
4,2023-01-01,99.0,1.0,8454.37,1352.7,0.0,0.0,9807.070000000002,9807.07
5,2023-01-01,3.0,1.0,490.0,78.4,0.0,0.0,568.4,568.4
6,2023-01-01,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2023-01-01,99.0,1.0,4543.1,726.9,56.79,0.0,5213.21,5213.21
8,2023-01-01,3.0,1.0,1717.25,0.0,0.0,0.0,1717.25,1717.25
9,2023-01-01,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2023-01-01,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2023-01-01,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2023-01-01,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2023-01-01,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2023-01-01,4.0,1.0,2265.8399999999997,37.11,0.0,0.0,2302.95,2302.95
15,2023-01-01,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2023-01-01,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2023-01-01,99.0,1.0,2623.03,401.28,0.0,0.0,3024.3100000000004,3024.31
18,2023-01-01,3.0,1.0,428.0,68.48,0.0,0.0,496.48,496.48
19,2023-01-01,3.0,1.0,5000.0,0.0,0.0,0.0,5000.0,5000.0
20,2023-01-01,3.0,1.0,22316.98,0.0,0.0,0.0,22316.98,22316.98
21,2023-01-01,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2023-01-01,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
23,2023-01-01,99.0,1.0,2223.0,355.68,0.0,0.0,2578.68,2578.68
24,2023-01-01,99.0,1.0,1960.0,313.6,0.0,0.0,2273.6,2273.6
25,2023-01-01,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2023-01-01,3.0,1.0,2231.7,357.07,0.0,0.0,2588.77,2588.77
27,2023-01-01,1.0,1.0,107.82,17.25,0.0,0.0,125.07,125.07
28,2023-01-01,3.0,1.0,1452.0,232.32,0.0,0.0,1684.32,1684.32
