,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Columna1
2234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,1.0,6949.5,1111.92,0.0,416.97,7644.45,7644.45,0.0
2237,1.0,14137.01,2261.92,0.0,848.22,15550.710000000001,15550.71,0.0
2238,1.0,7350.0,1176.0,0.0,0.0,8526.0,8526.0,0.0
2239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,1.0,5602.59,896.41,0.0,0.0,6499.0,6499.0,0.0
2241,1.0,-669.6,-107.14,0.0,0.0,-776.74,-776.74,0.0
2242,1.0,-111.6,-17.86,0.0,0.0,-129.45999999999998,-129.46,0.0
2243,1.0,179.55,28.73,0.0,0.0,208.28,208.28,0.0
2244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2245,1.0,1712.89,274.06,0.0,0.0,1986.95,1986.95,0.0
2246,1.0,182.26,29.16,0.0,0.0,211.42,211.42,0.0
2247,1.0,45.69,7.31,0.0,0.0,53.0,53.0,0.0
2248,1.0,208.05,33.28,0.0,0.0,241.33,241.33,0.0
2249,1.0,594.0,95.04,0.0,0.0,689.04,689.04,0.0
2250,1.0,473.28,75.73,0.0,0.0,549.01,549.01,0.0
2251,1.0,2208.54,353.37,0.0,0.0,2561.91,2561.91,0.0
2252,1.0,18870.85,3019.34,0.0,24.141777845777234,20757.94,20757.94,0.0
2253,1.0,7840.8,1254.53,0.0,0.0,9095.33,9095.33,0.0
2254,1.0,23267.08,3722.73,0.0,0.0,26989.81,26989.81,0.0
2255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,1.0,3234.0,517.44,0.0,0.0,3751.44,3751.44,0.0
2257,1.0,300.0,48.0,0.0,0.0,348.0,348.0,0.0
2258,1.0,0.01,0.0,0.0,0.0,0.01,0.0,-0.01
2259,1.0,0.01,0.0,0.0,0.0,0.01,0.0,-0.01
2260,1.0,2637.9,422.06,0.0,0.0,3059.96,3059.96,0.0
2261,1.0,2850.0,456.0,0.0,0.0,3306.0,3306.0,0.0
2262,1.0,366.4,58.62,0.0,0.0,425.02,425.02,0.0
2263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,1.0,215.52,34.48,0.0,0.0,250.0,250.0,0.0
2265,1.0,301.72,48.28,0.0,0.0,350.0,350.0,0.0
2266,1.0,1034.48,165.52,0.0,0.0,1200.0,1200.0,0.0
2267,1.0,355.04,56.81,0.0,0.0,411.85,411.85,0.0
2268,1.0,394.81,63.17,0.0,0.0,457.98,457.98,0.0
2269,1.0,8430.0,1348.8,0.0,0.0,9778.8,9778.8,0.0
2270,1.0,6123.88,979.82,0.0,0.0,7103.7,7103.7,0.0
2271,1.0,144.0,0.0,0.0,0.0,144.0,144.0,0.0
2272,1.0,5000.0,800.0,500.0,533.34,4766.66,4766.66,0.0
2273,1.0,3855.0,616.8,0.0,0.0,4471.8,4471.8,0.0
2274,1.0,79.62,12.74,0.0,0.0,92.36,92.36,0.0
2275,1.0,15.19,2.43,0.0,0.0,17.62,17.62,0.0
2276,1.0,955.0,152.8,0.0,0.0,1107.8,1107.8,0.0
2277,1.0,83.16,13.3,0.0,0.0,96.46,96.46,0.0
2278,1.0,640.0,102.4,0.0,0.0,742.4,742.4,0.0
2279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,1.0,5720.0,915.2,0.0,0.0,6635.2,6635.2,0.0
2281,1.0,332.0,53.12,0.0,0.0,385.12,385.12,0.0
2282,1.0,1207.46,193.19,0.0,0.0,1400.65,1400.65,0.0
2283,1.0,390.0,62.4,0.0,0.0,452.4,452.4,0.0
2284,1.0,4449.6,711.94,0.0,0.0,5161.540000000001,5161.54,0.0
2285,1.0,1658.9,265.42,0.0,0.0,1924.3200000000002,1924.32,0.0
2286,1.0,648.97,101.07,0.0,0.0,750.04,750.04,0.0
2287,1.0,15391.0,2462.56,0.0,0.0,17853.56,17853.56,0.0
2288,1.0,3577.59,572.41,0.0,0.0,4150.0,4150.0,0.0
2289,1.0,9060.0,1449.6,0.0,0.0,10509.6,10509.6,0.0
2290,1.0,0.01,0.0,0.0,0.0,0.01,0.0,-0.01
2291,1.0,480.0,76.8,0.0,0.0,556.8,556.8,0.0
2292,1.0,865.28,134.72,0.0,0.0,1000.0,1000.0,0.0
2293,1.0,173.06,26.94,0.0,0.0,200.0,200.0,0.0
2294,1.0,185.76,29.72,0.0,0.0,215.48,215.48,0.0
2295,1.0,2700.0,432.0,0.0,0.0,3132.0,3132.0,0.0
2296,1.0,18.97,3.03,0.0,0.0,22.0,22.0,0.0
2297,1.0,263.22,42.12,0.0,0.0,305.34000000000003,305.34,0.0
2298,1.0,3300.0,528.0,0.0,0.0,3828.0,3828.0,0.0
2299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,1.0,343.23,54.92,0.0,0.0,398.15000000000003,398.15,0.0
2301,1.0,1722.93,275.67,0.0,0.0,1998.6000000000001,1998.6,0.0
2302,1.0,93.4,14.94,0.0,0.0,108.34,108.34,0.0
2303,1.0,10489.51,1678.32,3.4901957241794643,24.141777845777234,10000.0,10000.0,0.0
